Day,Date,Day of Week,Duration,Section,Videos/Content,Quizzes,Completed,Notes
PT1,2026-02-23,Sunday,PRACTICE,Week 1: Initial Assessment,Re-watch videos for weak topics,Study weak areas,,
PT1,2026-02-24,Monday,PRACTICE,Week 1: Initial Assessment,Retake quizzes on weak topics,Targeted quizzes,,
PT1,2026-02-25,Tuesday,PRACTICE,Week 1: Initial Assessment,Take second practice exam (untimed),Practice exam,,
PT1,2026-02-26,Wednesday,PRACTICE,Week 1: Initial Assessment,Review results - study weak areas,Review & study,,
PT1,2026-02-27,Thursday,PRACTICE,Week 1: Initial Assessment,Review results - study weak areas,Review & study,,
PT1,2026-02-28,Friday,PRACTICE,Week 1: Initial Assessment,Take third practice exam (begin timing),Practice exam,,
PT2,2026-03-01,Saturday,PRACTICE,Week 2-3: Intensive Practice,Review results immediately,Review,,
PT2,2026-03-02,Sunday,PRACTICE,Week 2-3: Intensive Practice,Study weak areas from last exam,Study,,
PT2,2026-03-03,Monday,PRACTICE,Week 2-3: Intensive Practice,Take timed practice exam,Practice exam,,
PT2,2026-03-04,Tuesday,PRACTICE,Week 2-3: Intensive Practice,Review results - re-watch videos if needed,Review & study,,
PT2,2026-03-05,Wednesday,PRACTICE,Week 2-3: Intensive Practice,Transport Canada sample questions,Sample questions,,
PT2,2026-03-06,Thursday,PRACTICE,Week 2-3: Intensive Practice,Take timed practice exam,Practice exam,,
PT2,2026-03-07,Friday,PRACTICE,Week 2-3: Intensive Practice,Review results - focus on WHY,Review,,
PT2,2026-03-08,Saturday,PRACTICE,Week 2-3: Intensive Practice,Study weak areas,Study,,
PT2,2026-03-09,Sunday,PRACTICE,Week 2-3: Intensive Practice,Take timed practice exam,Practice exam,,
PT2,2026-03-10,Monday,PRACTICE,Week 2-3: Intensive Practice,Review results - retake quizzes,Review & quizzes,,
PT2,2026-03-11,Tuesday,PRACTICE,Week 2-3: Intensive Practice,Transport Canada sample questions,Sample questions,,
PT2,2026-03-12,Wednesday,PRACTICE,Week 2-3: Intensive Practice,Take timed practice exam,Practice exam,,
PT2,2026-03-13,Thursday,PRACTICE,Week 2-3: Intensive Practice,Review results,Review,,
PT2,2026-03-14,Friday,PRACTICE,Week 2-3: Intensive Practice,Study weak areas,Study,,
PT3,2026-03-15,Saturday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-16,Sunday,PRACTICE,Week 4-5: Exam Simulation,Review results - focus on any remaining gaps,Review,,
PT3,2026-03-17,Monday,PRACTICE,Week 4-5: Exam Simulation,Study weak areas,Study,,
PT3,2026-03-18,Tuesday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-19,Wednesday,PRACTICE,Week 4-5: Exam Simulation,Review results immediately,Review,,
PT3,2026-03-20,Thursday,PRACTICE,Week 4-5: Exam Simulation,Re-watch videos for missed topics,Study,,
PT3,2026-03-21,Friday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-22,Saturday,PRACTICE,Week 4-5: Exam Simulation,Review results - aim for 90%+,Review,,
PT3,2026-03-23,Sunday,PRACTICE,Week 4-5: Exam Simulation,Practice time management,Study,,
PT3,2026-03-24,Monday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-25,Tuesday,PRACTICE,Week 4-5: Exam Simulation,Review results,Review,,
PT3,2026-03-26,Wednesday,PRACTICE,Week 4-5: Exam Simulation,Retake difficult quizzes from course,Targeted quizzes,,
PT3,2026-03-27,Thursday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-28,Friday,PRACTICE,Week 4-5: Exam Simulation,Review results - target 90%+ consistently,Review,,
FINAL,2026-03-29,Saturday,FINAL,Week 6: Final Prep,Take final practice exam (test conditions),Practice exam,,
FINAL,2026-03-30,Sunday,FINAL,Week 6: Final Prep,Take second final practice exam (test conditions),Practice exam,,
FINAL,2026-03-31,Monday,FINAL,Week 6: Final Prep,Light review - areas you're least confident,Light review,,
FINAL,2026-04-01,Tuesday,FINAL,Week 6: Final Prep,Very light review - early night - stay relaxed,Light review,,
TEST,2026-04-02,Wednesday,TEST DAY,TEST DAY!,Private Pilot Written Exam - You've got this!,THE REAL EXAM!,,
